iter	Passed	Remaining
814	35835	8134
815	35877	8089
816	35916	8045
817	35960	8001
818	36004	7957
819	36045	7912
820	36091	7868
821	36133	7824
822	36178	7780
823	36220	7736
824	36261	7691
825	36303	7647
826	36342	7602
827	36390	7559
828	36432	7514
829	36476	7471
830	36517	7426
831	36560	7382
832	36602	7338
833	36644	7293
834	36687	7249
835	36732	7205
836	36775	7161
837	36818	7117
838	36862	7073
839	36906	7029
840	36947	6985
841	36986	6940
842	37032	6896
843	37074	6852
844	37119	6808
845	37160	6764
846	37201	6719
847	37240	6675
848	37283	6631
849	37325	6586
850	37367	6542
851	37409	6498
852	37453	6454
853	37496	6410
854	37537	6365
855	37579	6321
856	37624	6278
857	37665	6233
858	37708	6189
859	37749	6145
860	37789	6100
861	37834	6057
862	37875	6012
863	37915	5968
864	37958	5924
865	37995	5879
866	38039	5835
867	38085	5791
868	38134	5748
869	38186	5705
870	38235	5662
871	38285	5619
872	38329	5576
873	38372	5531
874	38414	5487
875	38463	5444
876	38538	5405
877	38579	5360
878	38621	5316
879	38668	5272
880	38715	5229
881	38761	5185
882	38809	5142
883	38853	5098
884	38898	5054
885	38945	5011
886	38989	4967
887	39036	4923
888	39084	4880
889	39129	4836
890	39175	4792
891	39222	4748
892	39269	4705
893	39315	4661
894	39360	4617
895	39403	4573
896	39457	4530
897	39506	4487
898	39559	4444
899	39606	4400
900	39654	4357
901	39698	4313
902	39743	4269
903	39792	4225
904	39846	4182
905	39897	4139
906	39948	4096
907	39997	4052
908	40045	4008
909	40092	3965
910	40137	3921
911	40185	3877
912	40235	3834
913	40282	3790
914	40331	3746
915	40384	3703
916	40431	3659
917	40477	3615
918	40523	3571
919	40569	3527
920	40616	3483
921	40664	3440
922	40718	3396
923	40766	3353
924	40819	3309
925	40868	3265
926	40911	3221
927	40965	3178
928	41012	3134
929	41060	3090
930	41104	3046
931	41150	3002
932	41195	2958
933	41245	2914
934	41292	2870
935	41336	2826
936	41381	2782
937	41421	2737
938	41463	2693
939	41505	2649
940	41547	2605
941	41593	2560
942	41635	2516
943	41681	2472
944	41735	2429
945	41787	2385
946	41836	2341
947	41887	2297
948	41942	2254
949	41994	2210
950	42039	2166
951	42090	2122
952	42137	2078
953	42184	2034
954	42234	1990
955	42283	1946
956	42337	1902
957	42407	1859
958	42461	1815
959	42511	1771
960	42561	1727
961	42608	1683
962	42656	1638
963	42705	1594
964	42751	1550
965	42797	1506
966	42843	1462
967	42888	1417
968	42938	1373
969	42983	1329
970	43032	1285
971	43114	1241
972	43175	1198
973	43233	1154
974	43284	1109
975	43334	1065
976	43381	1021
977	43427	976
978	43473	932
979	43521	888
980	43570	843
981	43618	799
982	43665	755
983	43711	710
984	43755	666
985	43805	621
986	43853	577
987	43900	533
988	43947	488
989	43995	444
990	44043	399
991	44090	355
992	44139	311
993	44185	266
994	44230	222
995	44275	177
996	44323	133
997	44370	88
998	44420	44
999	44466	0
